province,rate,HDI_state
Anhui,0.593919788,1
Beijing,0.654263099,3
Chongqing,0.532237275,1
Fujian,0.600332708,2
Gansu,0.554481443,1
Guangdong,0.555765875,2
Guangxi,0.459309084,1
Guizhou,0.453868104,1
Hainan,0.44203906,1
Hebei,0.534506305,1
Heilongjiang,0.565725585,2
Henan,0.550657896,1
Hubei,0.586472445,1
Hunan,0.513772756,1
Inner Mongolia,0.625659332,2
Jiangsu,0.641655702,2
Jiangxi,0.521127845,1
Jilin,0.564827871,2
Liaoning,0.589258041,2
Ningxia,0.546024255,1
Qinghai,0.543739423,1
Shaanxi,0.577746487,1
Shandong,0.602048638,2
Shanghai,0.642345586,3
Shanxi,0.626225291,1
Sichuan,0.540695726,1
Tianjin,0.583314375,2
Tibet,0.475105025,1
Xinjiang,0.484548248,1
Yunnan,0.49714124,1
Zhejiang,0.660180552,2
