,province,hdi2010,hdistate
1,Beijing,0.825,high
2,Tianjin,0.786,high
3,Hebei,0.681,medium
4,Shanxi,0.689,medium
5,Inner Mongolia,0.712,high
6,Liaoning,0.73,high
7,Jilin,0.709,high
8,Heilongjiang,0.698,medium
9,Shanghai,0.804,high
10,Jiangsu,0.729,high
11,Zhejiang,0.72,high
12,Anhui,0.645,low
13,Fujian,0.701,medium
14,Jiangxi,0.652,low
15,Shandong,0.705,high
16,Henan,0.663,medium
17,Hubei,0.687,medium
18,Hunan,0.674,medium
19,Guangdong,0.721,high
20,Guangxi,0.65,low
21,Hainan,0.675,medium
22,Chongqing,0.676,medium
23,Sichuan,0.65,low
24,Guizhou,0.586,low
25,Yunnan,0.596,low
26,Tibet,0.522,low
27,Shaanxi,0.688,medium
28,Gansu,0.621,low
29,Qinghai,0.619,low
30,Ningxia,0.66,low
31,Xinjiang,0.662,low
