文件名,顺序,Eye study,语言,省份,省份,省份4分 1=high；2=Upper-middle；3=lower-middle; 4= low,省份3分 1=high；2=middle；3=low,省份3分 1=high；2=middle；3=low(修改四川安徽）,随访,随访次,0：不可用；1：可用；2潜力，需整体近视率补充数据；3潜力，需补充整体城乡数据,不可用理由,我们使用为1,年份,时间分组1:1995-2003；2:2004-2007；3:2008-2011；4:2012-2015；5:2016-2019；6:2020-2023,验光方式1非散瞳；2散瞳；3试片,城市/农村 0=农村，1=城市，2=农村及城市，3=不清楚划分,高度近视人数,男性人数,男性近视人数,男性近视率,男性城市人数,男性城市近视人数,男性农村人数,男性农村近视人数,男性高度近视,男性城市高度近视人数,男性农村高度近视人数,女性人数,女性近视人数,女性近视率,女性城市人数,女性城市近视人数,女性农村人数,女性农村近视人数,女性高度近视,女性城市高度近视人数,女性农村高度近视人数,学前人数,学前近视人数,学前总近视率,学前城市人数,学前城市近视人数,学前城市患病率,学前农村人数,学前农村近视人数,学前农村近视率,学前高度近视人数,学前城市高度近视人数,学前农村高度近视人数,1-3年级城市人数,1-3年级城市近视人数,1-3年级城市患病率,1-3年级农村人数,1-3年级农村近视人数,1-3年级农村患病率,4-6年级城市人数,4-6年级城市近视人数,4-6年级城市患病率,4-6年级农村人数,4-6年级农村近视人数,4-6年级农村患病率,7-9年级城市人数,7-9年级城市近视人数,7-9年级城市近视率,7-9年级农村人数,7-9年级农村近视人数,7-9年级农村近视率,10-12年级城市人数,10-12年级城市近视人数,10-12年级城市近视率,10-12年级农村人数,10-12年级农村近视人数,10-12年级农村近视率,同年同省小学生人口数,同年同省初中人口数,同年同省小学初中人口总数,离群,备注
Chunfeng Zhang 2022,001,,0 ,33 ,浙江,1 ,1 ,1 ,2 ,0 ,2 ,,1 ,2020 ,6 ,1 ,1 ,,,,,,,,,,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,3727273,1636425,5363698,,
Dandan Jiang 2021,002,,0 ,33 ,浙江,1 ,1 ,1 ,1 ,1 ,1 ,,1 ,2012 ,4 ,1 ,1 ,,606 ,78 ,12.87%,606 ,78 ,0 ,0 ,,,,688 ,106 ,15.41%,688 ,106 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,1294 ,184 ,14.22%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3467269,1492985,4960254,,
Dandan Jiang 2021,003,,0 ,33 ,浙江,1 ,1 ,1 ,1 ,2 ,1 ,,1 ,2015 ,4 ,1 ,1 ,,606 ,,,,,,,,,,688 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,1294 ,491 ,37.94%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,3569926,1479353,5049279,,2.5年以后，不完全是4-6年级
Danjie Jiang 2022,005,,0 ,33 ,浙江,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2019 ,5 ,1 ,1 ,,1632 ,1207 ,73.96%,1632 ,1207 ,0 ,0 ,,,,1624 ,1317 ,81.10%,1624 ,1317 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,1088 ,669 ,61.49%,0 ,0 ,,1088 ,886 ,81.43%,0 ,0 ,,1080 ,969 ,89.72%,0 ,0 ,,3671067,1636986,5308053,,小学段年龄分层根据中文文章：浙江省宁波市 4～6 年级小学生近视现况及其影响因素分析（通过调查问卷中具体数据和纳入方法确认小学数据来源一致）；该篇是003301的小样本报告
Hongyan Chen 2022,007,,0 ,32 ,江苏,1 ,1 ,1 ,2 ,1 ,1 ,,1 ,2019 ,5 ,1 ,2 ,3761 ,63557 ,26267 ,41.33%,,,,,1891 ,,,54922 ,26544 ,48.33%,,,,,1870 ,,,\,\,,\,\,,\,\,,\,\,\,20735 ,4246 ,20.48%,20545 ,2924 ,14.23%,20124 ,10363 ,51.49%,19941 ,7135 ,35.78%,14604 ,12419 ,85.04%,14471 ,8551 ,59.09%,8059 ,7173 ,89.01%,0 ,0 ,,5726376,2424561,8150937,,附表1中提供了原始数据，但里面的数据和原文汇报的无法对应，目前按照原始数据结果填写
Hongyan Chen 2022,008,,0 ,32 ,江苏,1 ,1 ,1 ,2 ,2 ,1 ,,1 ,2020 ,6 ,1 ,2 ,4649 ,64920 ,31782 ,48.96%,,,,,2323 ,,,56961 ,31545 ,55.38%,,,,,2326 ,,,\,\,,\,\,,\,\,,\,\,\,21052 ,5445 ,25.86%,18677 ,3582 ,19.18%,22386 ,13293 ,59.38%,19860 ,8746 ,44.04%,16193 ,14199 ,87.69%,14366 ,9342 ,65.03%,9347 ,8540 ,91.37%,0 ,0 ,,5808208,2542608,8350816,,附表1中提供了原始数据，但里面的数据和原文汇报的无法对应，目前按照原始数据情况填写
Jialiang Zhao 2004,011,RESC,0 ,11 ,北京,1 ,1 ,1 ,1 ,2 ,1 ,,1 ,2000 ,1 ,2 ,0 ,,2551 ,,,,,,,,,,2422 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,0 ,0 ,,1043 ,80 ,7.67%,\,\,,\,\,,0 ,0 ,,2986 ,815 ,27.31%,0 ,0 ,,944 ,447 ,47.34%,743109,512351,1255460,,"近视人数按照年龄段推算，7-8，9-11，12-14，15-17（这样划分无法使用文中汇报的近视数据，文中按照7-10,11-14,15-18划分）；地点是顺义，故算城市人口"
Jialiang Zhao 2000,012,RESC,0 ,11 ,北京,1 ,1 ,1 ,1 ,1 ,1 ,,1 ,1998 ,1 ,2 ,0 ,,3007 ,381 ,12.67%,0 ,0 ,3007 ,381 ,,,,2877 ,572 ,19.88%,0 ,0 ,2877 ,572 ,,,,302 ,4 ,1.32%,0 ,0 ,,302 ,4 ,1.32%,\,\,\,0 ,0 ,,1808 ,98 ,5.42%,0 ,0 ,,2342 ,334 ,14.26%,0 ,0 ,,1432 ,516 ,36.03%,\,\,,\,\,,919531,463937,1383468,,从Jialiang Zhao 2004参考文献得，与其共同组成随访研究；近视人数按照年龄段推算，5，6-8，9-11，12-14；地点写的是rural shunyi，但算作了urban
Jian Feng Wu 2013,013,Shandong Children Eye Study,0 ,37 ,山东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2012 ,4 ,2 ,2 ,118 ,3186 ,1079 ,33.87%,1484 ,613 ,1702 ,466 ,51 ,33 ,18 ,2839 ,1142 ,40.23%,1430 ,654 ,1409 ,488 ,67 ,45 ,22 ,919 ,22 ,2.39%,486 ,13 ,2.67%,433 ,9 ,2.08%,1 ,0 ,1 ,974 ,244 ,25.05%,963 ,126 ,13.08%,874 ,517 ,59.15%,908 ,315 ,34.69%,450 ,368 ,81.78%,561 ,317 ,56.51%,129 ,124 ,96.12%,244 ,186 ,76.23%,6276696,3281023,9557719,,将18岁也算入高中组（107人，86近视，3高度近视）
Jianyong Wang 2020 myopia,016,,0 ,33 ,浙江,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2019 ,5 ,1 ,2 ,452 ,2647 ,1572 ,59.39%,,,,,245 ,,,2154 ,1458 ,67.69%,,,,,207 ,,,381 ,44 ,11.55%,214 ,26 ,12.22%,167 ,18 ,10.69%,1 ,,,599 ,183 ,30.61%,469 ,126 ,26.79%,623 ,438 ,70.38%,488 ,301 ,61.59%,606 ,528 ,87.13%,476 ,363 ,76.25%,650 ,621 ,95.58%,509 ,426 ,83.64%,3671067,1636986,5308053,,
