province,1,2,3,4
北京,369463,564647,564647,991840
天津,298027,463922,463922,688062
河北,918208,1490978,1490978,1997331
山西,874255,994550,994550,1011927
内蒙古,632515,819969,819969,901888
辽宁,1073683,1623131,1623131,1718960
吉林,684109,1027512,1027512,1066530
黑龙江,988266,1433949,1433949,1459958
上海,508198,829433,829433,1190202
江苏,1715633,2328935,2328935,2573769
浙江,1160925,1429947,1429947,1996176
安徽,1124729,1419006,1419006,1422817
福建,861022,1201100,1201100,1497872
江西,739357,972527,972527,997461
山东,1652664,3019671,3019671,3268941
河南,1368922,2097439,2097439,1871672
湖北,1562438,2127125,2127125,2425726
湖南,941699,1461802,1461802,1657827
广东,3199915,3224924,3224924,5293521
广西,785797,1138887,1138887,1277918
海南,253592,273301,273301,316032
重庆,552499,672681,672681,745929
四川,1258969,1559068,1559068,1903665
贵州,656283,732079,732079,696775
云南,603844,677735,677735,859845
西藏,35709,42063,42063,48963
陕西,731429,971092,971092,1045135
甘肃,387580,453079,453079,520801
青海,106070,116963,116963,115417
宁夏,124391,144195,144195,148506
新疆,418172,491174,491174,520119
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
