province,1,2,3,4
北京,90966,67897,67897,55168
天津,108618,123779,123779,65447
河北,2330069,2349147,2349147,966417
山西,605230,672818,672818,424045
内蒙古,303905,352538,352538,207128
辽宁,390373,509821,509821,383023
吉林,318575,451238,451238,324810
黑龙江,335934,515367,515367,414264
上海,50992,39079,39079,69279
江苏,1099808,1199770,1199770,558141
浙江,703507,730324,730324,469946
安徽,1820214,1817551,1817551,992861
福建,901301,789959,789959,432283
江西,1416102,1596910,1596910,848503
山东,2236951,2358584,2358584,1428031
河南,4107793,4268606,4268606,1778765
湖北,1253274,1219515,1219515,514294
湖南,1983328,2082747,2082747,1099987
广东,2731756,2429801,2429801,1430794
广西,2120133,2059651,2059651,1016487
海南,289086,289423,289423,191475
重庆,461440,660799,660799,367530
四川,1981878,2338145,2338145,1451091
贵州,1587275,1566426,1566426,978165
云南,1686209,1799436,1799436,1138823
西藏,233142,205276,205276,141121
陕西,872784,787639,787639,463382
甘肃,810133,772515,772515,496084
青海,204740,194149,194149,129417
宁夏,180573,184475,184475,126543
新疆,1489202,1064070,1064070,547487
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
