province,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Beijing,0.012793955,0.01315502,0.01315502,0.01315502,0.01315502,0.010374363,0.010374363,0.010374363,0.010374363,0.010374363,0.007558221,0.007558221,0.007558221,0.007558221,0.007558221,0.008744792,0.008744792,0.008744792,0.008744792,0.008744792,0.0180826,0.0180826,0.0180826,0.0180826,0.0180826,0.020814621,0.020814621,0.020814621,0.020814621,0.020814621,0.020222645,0.020222645,0.020222645,0.020222645,0.020222645
Tianjin,0.006956886,0.008012661,0.008012661,0.008012661,0.008012661,0.007394591,0.007394591,0.007394591,0.007394591,0.007394591,0.006990458,0.006990458,0.006990458,0.006990458,0.006990458,0.008554453,0.008554453,0.008554453,0.008554453,0.008554453,0.011115942,0.011115942,0.011115942,0.011115942,0.011115942,0.010259858,0.010259858,0.010259858,0.010259858,0.010259858,0.011192276,0.011192276,0.011192276,0.011192276,0.011192276
Hebei,0.050883803,0.054617327,0.054617327,0.054617327,0.054617327,0.062152436,0.062152436,0.062152436,0.062152436,0.062152436,0.062450112,0.062450112,0.062450112,0.062450112,0.062450112,0.05552134,0.05552134,0.05552134,0.05552134,0.05552134,0.039377713,0.039377713,0.039377713,0.039377713,0.039377713,0.04524286,0.04524286,0.04524286,0.04524286,0.04524286,0.055642774,0.055642774,0.055642774,0.055642774,0.055642774
Shanxi,0.024104119,0.022810337,0.022810337,0.022810337,0.022810337,0.021677484,0.021677484,0.021677484,0.021677484,0.021677484,0.023245322,0.023245322,0.023245322,0.023245322,0.023245322,0.023894364,0.023894364,0.023894364,0.023894364,0.023894364,0.026196072,0.026196072,0.026196072,0.026196072,0.026196072,0.027976002,0.027976002,0.027976002,0.027976002,0.027976002,0.024159139,0.024159139,0.024159139,0.024159139,0.024159139
Inner Mongolia,0.014487837,0.013447288,0.013447288,0.013447288,0.013447288,0.013166708,0.013166708,0.013166708,0.013166708,0.013166708,0.013390689,0.013390689,0.013390689,0.013390689,0.013390689,0.01387539,0.01387539,0.01387539,0.01387539,0.01387539,0.014243016,0.014243016,0.014243016,0.014243016,0.014243016,0.015849625,0.015849625,0.015849625,0.015849625,0.015849625,0.016501543,0.016501543,0.016501543,0.016501543,0.016501543
Liaoning,0.01843576,0.018533341,0.018533341,0.018533341,0.018533341,0.018463126,0.018463126,0.018463126,0.018463126,0.018463126,0.019309423,0.019309423,0.019309423,0.019309423,0.019309423,0.02326514,0.02326514,0.02326514,0.02326514,0.02326514,0.024748288,0.024748288,0.024748288,0.024748288,0.024748288,0.024457001,0.024457001,0.024457001,0.024457001,0.024457001,0.02773487,0.02773487,0.02773487,0.02773487,0.02773487
Jilin,0.009753914,0.00994335,0.00994335,0.00994335,0.00994335,0.010678315,0.010678315,0.010678315,0.010678315,0.010678315,0.012818148,0.012818148,0.012818148,0.012818148,0.012818148,0.014588216,0.014588216,0.014588216,0.014588216,0.014588216,0.013626253,0.013626253,0.013626253,0.013626253,0.013626253,0.013766926,0.013766926,0.013766926,0.013766926,0.013766926,0.016032994,0.016032994,0.016032994,0.016032994,0.016032994
Heilongjiang,0.010026497,0.010799541,0.010799541,0.010799541,0.010799541,0.012097228,0.012097228,0.012097228,0.012097228,0.012097228,0.016121081,0.016121081,0.016121081,0.016121081,0.016121081,0.01916933,0.01916933,0.01916933,0.01916933,0.01916933,0.018844318,0.018844318,0.018844318,0.018844318,0.018844318,0.017319826,0.017319826,0.017319826,0.017319826,0.017319826,0.019750072,0.019750072,0.019750072,0.019750072,0.019750072
Shanghai,0.010443077,0.011164111,0.011164111,0.011164111,0.011164111,0.010163852,0.010163852,0.010163852,0.010163852,0.010163852,0.007822646,0.007822646,0.007822646,0.007822646,0.007822646,0.009802451,0.009802451,0.009802451,0.009802451,0.009802451,0.020273852,0.020273852,0.020273852,0.020273852,0.020273852,0.024105575,0.024105575,0.024105575,0.024105575,0.024105575,0.022147644,0.022147644,0.022147644,0.022147644,0.022147644
Jiangsu,0.047179395,0.049593582,0.049593582,0.049593582,0.049593582,0.052405471,0.052405471,0.052405471,0.052405471,0.052405471,0.051312331,0.051312331,0.051312331,0.051312331,0.051312331,0.048964468,0.048964468,0.048964468,0.048964468,0.048964468,0.053029366,0.053029366,0.053029366,0.053029366,0.053029366,0.061760355,0.061760355,0.061760355,0.061760355,0.061760355,0.065088595,0.065088595,0.065088595,0.065088595,0.065088595
Zhejiang,0.038458848,0.037969368,0.037969368,0.037969368,0.037969368,0.033637836,0.033637836,0.033637836,0.033637836,0.033637836,0.031834058,0.031834058,0.031834058,0.031834058,0.031834058,0.038773831,0.038773831,0.038773831,0.038773831,0.038773831,0.04939436,0.04939436,0.04939436,0.04939436,0.04939436,0.052918572,0.052918572,0.052918572,0.052918572,0.052918572,0.049595312,0.049595312,0.049595312,0.049595312,0.049595312
