province,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
北京,0.7257,0.7332,0.7417,0.7365,0.7563,0.7764,0.78949625,0.802021047,0.813976219,0.825366659,0.8362,0.8433,0.845,0.849,0.85,0.8596,0.862,0.8629,0.8639,0.865,0.8671,0.8676,0.8693,0.8709,0.8735,0.8755,0.875,0.8757
天津,0.7083,0.7117,0.7122,0.7141,0.7183,0.7202,0.726564327,0.732837592,0.739018631,0.745106405,0.7511,0.7573,0.7631,0.7723,0.7801,0.7955,0.8043,0.8155,0.8229,0.8255,0.8288,0.8327,0.8357,0.8395,0.8431,0.847,0.8488,0.8511
河北,0.2277,0.2419,0.2478,0.2517,0.2551,0.2622,0.283292633,0.305379747,0.328399851,0.352275199,0.376912185,0.387652112,0.4025,0.419,0.4374,0.445,0.4559,0.466,0.4802,0.4936,0.5167,0.5387,0.5574,0.5733,0.5877,0.6007,0.6114,0.6165
山西,0.3237,0.332,0.3374,0.341,0.3451,0.3506,0.364290261,0.378203767,0.392320728,0.406620038,0.421079387,0.430100003,0.4403,0.4511,0.4599,0.4805,0.4979,0.5132,0.5288,0.543,0.5587,0.5727,0.5859,0.5985,0.6129,0.6253,0.6342,0.6396
内蒙古,0.3871,0.3926,0.3992,0.4056,0.4121,0.4282,0.436892697,0.445624333,0.454389661,0.463183351,0.472,0.4864,0.5015,0.5171,0.534,0.555,0.5704,0.5842,0.5982,0.6097,0.6209,0.634,0.646,0.6551,0.6646,0.6748,0.6821,0.686
辽宁,0.5295,0.533,0.5366,0.5397,0.5415,0.5435,0.552275332,0.561018225,0.569723404,0.578385688,0.587,0.5899,0.592,0.6005,0.6035,0.621,0.6405,0.6565,0.6645,0.6705,0.6805,0.6887,0.6949,0.7026,0.7121,0.7214,0.7281,0.73
吉林,0.4985,0.4978,0.5001,0.4996,0.4978,0.4977,0.503204217,0.508707658,0.514208989,0.519706879,0.5252,0.5297,0.5316,0.5321,0.5332,0.5335,0.534,0.5454,0.5574,0.5681,0.5764,0.5875,0.5971,0.6085,0.6163,0.6264,0.6336,0.6372
黑龙江,0.5057,0.5107,0.5067,0.5123,0.5139,0.5164,0.519323042,0.522244762,0.525164961,0.52808344,0.531,0.535,0.539,0.554,0.555,0.5566,0.5649,0.5688,0.5804,0.5922,0.6047,0.6109,0.619,0.6346,0.6462,0.6561,0.6569,0.6621
上海,0.8207,0.8309,0.8501,0.8608,0.8745,0.8847,0.885964027,0.887215964,0.888455887,0.889683873,0.8909,0.887,0.887,0.886,0.886,0.893,0.893,0.893,0.896,0.893,0.8853,0.89,0.891,0.8913,0.8922,0.893,0.893,0.8933
江苏,0.316,0.3269,0.333,0.3394,0.3614,0.4178,0.435007591,0.452373222,0.469855584,0.487412235,0.505,0.519,0.532,0.543,0.556,0.6058,0.6201,0.6301,0.6439,0.657,0.6749,0.6893,0.7018,0.7119,0.7247,0.7344,0.7394,0.7442
浙江,0.4165,0.4261,0.4399,0.4561,0.471,0.489,0.503297221,0.517589052,0.531852164,0.546063415,0.5602,0.565,0.572,0.576,0.579,0.6162,0.6229,0.6291,0.6394,0.6496,0.6632,0.6772,0.6891,0.7002,0.7158,0.7217,0.7266,0.7338
安徽,0.2473,0.2555,0.2621,0.267,0.2768,0.2796,0.293886202,0.308589676,0.32369156,0.33916996,0.355,0.371,0.387,0.405,0.421,0.4301,0.448,0.463,0.4787,0.4931,0.5097,0.5262,0.5429,0.5565,0.5702,0.5833,0.5939,0.6015
福建,0.3658,0.3786,0.3867,0.3976,0.4097,0.4179,0.432926662,0.448077727,0.463325801,0.478642769,0.494,0.504,0.514,0.53,0.551,0.571,0.5811,0.5932,0.608,0.6199,0.6322,0.6439,0.6578,0.6698,0.6787,0.6875,0.697,0.7011
江西,0.2624,0.2664,0.2702,0.2707,0.2733,0.2775,0.294846516,0.312807898,0.331349303,0.350429291,0.37,0.3868,0.398,0.4136,0.4318,0.4406,0.4575,0.4739,0.4904,0.5055,0.523,0.5399,0.557,0.5734,0.5907,0.6044,0.6146,0.6207
山东,0.3763,0.3915,0.3898,0.3794,0.3747,0.3821,0.395404688,0.408866098,0.422465565,0.4361836,0.45,0.461,0.4675,0.476,0.4832,0.497,0.5086,0.5203,0.5346,0.5477,0.5697,0.5913,0.6079,0.6146,0.6186,0.6305,0.6394,0.6454
河南,0.217,0.223,0.2276,0.2301,0.2302,0.233,0.246667509,0.260864065,0.27557879,0.290796983,0.3065,0.3247,0.3434,0.3603,0.377,0.385,0.4047,0.4199,0.436,0.4505,0.4702,0.4878,0.5056,0.5224,0.5401,0.5543,0.5645,0.5707
湖北,0.3686,0.3803,0.3904,0.3949,0.3989,0.4048,0.41019903,0.415619787,0.421061038,0.426521533,0.432,0.438,0.443,0.452,0.46,0.497,0.5178,0.5323,0.5451,0.5573,0.5718,0.5857,0.5988,0.61,0.6183,0.6289,0.6409,0.6467
湖南,0.2555,0.2684,0.2772,0.2844,0.2912,0.2993,0.312823917,0.326674022,0.340833188,0.355282237,0.37,0.3871,0.4045,0.4215,0.432,0.433,0.4497,0.4622,0.4763,0.4898,0.5079,0.527,0.5462,0.5609,0.5745,0.5876,0.5971,0.6031
广东,0.5284,0.5416,0.5509,0.5554,0.5556,0.5536,0.56438007,0.575099621,0.585749003,0.596318829,0.6068,0.63,0.6314,0.6337,0.634,0.6618,0.6657,0.6715,0.6809,0.6862,0.6951,0.7015,0.7074,0.7181,0.7265,0.7415,0.7463,0.7479
广西,0.2529,0.2663,0.2742,0.2796,0.2836,0.2835,0.293636404,0.303981468,0.31452871,0.325270886,0.3362,0.3464,0.3624,0.3816,0.392,0.4,0.419,0.4348,0.4511,0.4654,0.4799,0.4924,0.5059,0.5182,0.5298,0.542,0.5508,0.5565
海南,0.3092,0.3488,0.3653,0.3802,0.388,0.4184,0.425069951,0.431767295,0.438489682,0.445234723,0.452,0.461,0.472,0.48,0.4913,0.498,0.5034,0.5102,0.5228,0.533,0.5491,0.567,0.5804,0.5913,0.5937,0.6027,0.6097,0.6149
重庆,0.249031771,0.264803469,0.2812,0.2982,0.3158,0.334,0.356488581,0.379628241,0.403328502,0.427488797,0.452,0.467,0.483,0.4999,0.5159,0.5302,0.5498,0.5664,0.5829,0.5974,0.6147,0.6333,0.65,0.6661,0.6824,0.6946,0.7032,0.7096
四川,0.2467,0.2537,0.2623,0.2529,0.2611,0.2669,0.27889217,0.291209128,0.303840849,0.316775613,0.33,0.343,0.356,0.374,0.387,0.4018,0.4185,0.4335,0.4496,0.4651,0.4827,0.5,0.5178,0.535,0.5536,0.5673,0.5782,0.5835
贵州,0.2383,0.2413,0.2413,0.2415,0.2421,0.2391,0.244836858,0.250666017,0.256586804,0.262598432,0.2687,0.2746,0.2824,0.2911,0.2989,0.3381,0.3503,0.363,0.3789,0.4024,0.4296,0.4556,0.4776,0.4954,0.5148,0.5315,0.5433,0.5481
云南,0.2039,0.2086,0.2153,0.2189,0.2283,0.2348,0.246128716,0.25781986,0.269867539,0.282264086,0.295,0.305,0.316,0.33,0.34,0.347,0.3657,0.3847,0.3999,0.4121,0.4293,0.4464,0.4629,0.4744,0.4867,0.5005,0.5105,0.5172
西藏,0.1585,0.1631,0.169,0.1749,0.1856,0.1904,0.193921341,0.197491922,0.201111843,0.204781184,0.2085,0.2113,0.215,0.219,0.223,0.2267,0.2281,0.2287,0.2393,0.2623,0.2887,0.3157,0.3338,0.338,0.3451,0.3573,0.3661,0.3739
陕西,0.2849,0.2934,0.3035,0.3105,0.3149,0.324,0.33340335,0.342941161,0.352607494,0.362396014,0.3723,0.3912,0.4062,0.421,0.435,0.4576,0.4735,0.4971,0.5157,0.5301,0.5474,0.5639,0.5807,0.5965,0.6128,0.6266,0.6363,0.6402
甘肃,0.2254,0.2287,0.2318,0.2346,0.2363,0.241,0.252177394,0.263693084,0.27554088,0.287712993,0.3002,0.3109,0.3225,0.3356,0.3489,0.3612,0.3725,0.3878,0.405,0.4228,0.4424,0.4607,0.4812,0.4969,0.507,0.5223,0.5333,0.5419
青海,0.3372,0.3425,0.3484,0.3527,0.3469,0.3491,0.357608019,0.36620673,0.374891537,0.383657632,0.3925,0.3926,0.4007,0.4086,0.419,0.4472,0.4653,0.4785,0.4929,0.5084,0.5167,0.5355,0.5545,0.5727,0.5878,0.6008,0.6102,0.6143
宁夏,0.322,0.3242,0.3275,0.3316,0.3301,0.3253,0.343919886,0.363032096,0.382587052,0.402529693,0.4228,0.43,0.4402,0.4498,0.461,0.479,0.502,0.5115,0.5284,0.5482,0.5698,0.5874,0.6095,0.6215,0.6363,0.6496,0.6604,0.6634
新疆,0.339,0.3425,0.3386,0.3391,0.3403,0.3387,0.345148959,0.351655414,0.358217428,0.364832987,0.3715,0.3794,0.3915,0.3964,0.3985,0.4301,0.4373,0.4422,0.4494,0.4679,0.4878,0.5042,0.519,0.5401,0.5551,0.5653,0.5726,0.5789
