province,year,age_group,method,population_urban,myopia_urban,myopia_rate_urban,population_rural,myopia_rural,myopia_rate_rural,method,number of junior secondary school graduates,New Student Enrollment in high school,articulation rate,GDP
Anhui,1998,1,,,,,,,,,,,,
Beijing,1998,1,,,,,,,,,,,,
Chongqing,1998,1,,,,,,,,,,,,
Fujian,1998,1,,,,,,,,,,,,
Gansu,1998,1,,,,,,,,,,,,
Guangdong,1998,1,,,,,,,,,,,,
Guangxi,1998,1,,,,,,,,,,,,
Guizhou,1998,1,,,,,,,,,,,,
Hainan,1998,1,,,,,,,,,,,,
Hebei,1998,1,,,,,,,,,,,,
Heilongjiang,1998,1,,,,,,,,,,,,
Henan,1998,1,,,,,,,,,,,,
Hubei,1998,1,,,,,,,,,,,,
Hunan,1998,1,,,,,,,,,,,,
Inner Mongolia,1998,1,,,,,,,,,,,,
Jiangsu,1998,1,,,,,,,,,,,,
Jiangxi,1998,1,,,,,,,,,,,,
Jilin,1998,1,,,,,,,,,,,,
Liaoning,1998,1,,,,,,,,,,,,
Ningxia,1998,1,,,,,,,,,,,,
Qinghai,1998,1,,,,,,,,,,,,
Shaanxi,1998,1,,,,,,,,,,,,
Shandong,1998,1,,,,,,,,,,,,
Shanghai,1998,1,,,,,,,,,,,,
Shanxi,1998,1,,,,,,,,,,,,
Sichuan,1998,1,,,,,,,,,,,,
Tianjin,1998,1,,,,,,,,,,,,
Tibet,1998,1,,,,,,,,,,,,
Xinjiang,1998,1,,,,,,,,,,,,
Yunnan,1998,1,,,,,,,,,,,,
Zhejiang,1998,1,,,,,,,,,,,,
Anhui,1999,1,,,,,,,,,,,,
Beijing,1999,1,,,,,,,,,,,,
Chongqing,1999,1,,,,,,,,,,,,
Fujian,1999,1,,,,,,,,,,,,
Gansu,1999,1,,,,,,,,,,,,
Guangdong,1999,1,,,,,,,,,,,,
Guangxi,1999,1,,,,,,,,,,,,
Guizhou,1999,1,,,,,,,,,,,,
Hainan,1999,1,,,,,,,,,,,,
Hebei,1999,1,,,,,,,,,,,,
Heilongjiang,1999,1,,,,,,,,,,,,
Henan,1999,1,,,,,,,,,,,,
Hubei,1999,1,,,,,,,,,,,,
Hunan,1999,1,,,,,,,,,,,,
Inner Mongolia,1999,1,,,,,,,,,,,,
Jiangsu,1999,1,,,,,,,,,,,,
Jiangxi,1999,1,,,,,,,,,,,,
Jilin,1999,1,,,,,,,,,,,,
Liaoning,1999,1,,,,,,,,,,,,
Ningxia,1999,1,,,,,,,,,,,,
Qinghai,1999,1,,,,,,,,,,,,
Shaanxi,1999,1,,,,,,,,,,,,
Shandong,1999,1,,,,,,,,,,,,
Shanghai,1999,1,,,,,,,,,,,,
Shanxi,1999,1,,,,,,,,,,,,
Sichuan,1999,1,,,,,,,,,,,,
Tianjin,1999,1,,,,,,,,,,,,
Tibet,1999,1,,,,,,,,,,,,
Xinjiang,1999,1,,,,,,,,,,,,
Yunnan,1999,1,,,,,,,,,,,,
Zhejiang,1999,1,,,,,,,,,,,,
Anhui,2000,1,,,,,,,,,,,,
Beijing,2000,1,,,,,,,,,,,,
Chongqing,2000,1,,,,,,,,,,,,
Fujian,2000,1,,,,,,,,,,,,
Gansu,2000,1,,,,,,,,,,,,
Guangdong,2000,1,,,,,,,,,,,,
Guangxi,2000,1,,,,,,,,,,,,
Guizhou,2000,1,,,,,,,,,,,,
Hainan,2000,1,,,,,,,,,,,,
Hebei,2000,1,,,,,,,,,,,,
Heilongjiang,2000,1,,,,,,,,,,,,
Henan,2000,1,,,,,,,,,,,,
Hubei,2000,1,,,,,,,,,,,,
Hunan,2000,1,,,,,,,,,,,,
Inner Mongolia,2000,1,,,,,,,,,,,,
Jiangsu,2000,1,,,,,,,,,,,,
Jiangxi,2000,1,,,,,,,,,,,,
Jilin,2000,1,,,,,,,,,,,,
Liaoning,2000,1,,,,,,,,,,,,
Ningxia,2000,1,,,,,,,,,,,,
Qinghai,2000,1,,,,,,,,,,,,
Shaanxi,2000,1,,,,,,,,,,,,
Shandong,2000,1,,,,,,,,,,,,
Shanghai,2000,1,,,,,,,,,,,,
Shanxi,2000,1,,,,,,,,,,,,
Sichuan,2000,1,,,,,,,,,,,,
Tianjin,2000,1,,,,,,,,,,,,
Tibet,2000,1,,,,,,,,,,,,
Xinjiang,2000,1,,,,,,,,,,,,
Yunnan,2000,1,,,,,,,,,,,,
Zhejiang,2000,1,,,,,,,,,,,,
Anhui,2001,1,,,,,,,,,,,,
Beijing,2001,1,,,,,,,,,,,,
Chongqing,2001,1,,,,,,,,,,,,
Fujian,2001,1,,,,,,,,,,,,
