英文省份,年份,验光方式1非散瞳；2散瞳；3试片,1-3年级城市人数,1-3年级城市近视人数,1-3年级城市患病率,1-3年级农村人数,1-3年级农村近视人数,1-3年级农村患病率,4-6年级城市人数,4-6年级城市近视人数,4-6年级城市患病率,4-6年级农村人数,4-6年级农村近视人数,4-6年级农村患病率,7-9年级城市人数,7-9年级城市近视人数,7-9年级城市近视率,7-9年级农村人数,7-9年级农村近视人数,7-9年级农村近视率,10-12年级城市人数,10-12年级城市近视人数,10-12年级城市近视率,10-12年级农村人数,10-12年级农村近视人数,10-12年级农村近视率
Zhejiang,2012.0,1.0,1294 ,184 ,0.1422,0 ,0 ,,,,,,,,,,,,,,,,,,,
Zhejiang,2015.0,1.0,,,,,,,1294 ,491 ,0.37939999999999996,0 ,0 ,,,,,,,,,,,,,
Zhejiang,2019.0,1.0,,,,,,,1088 ,669 ,0.6149,0 ,0 ,,1088 ,886 ,0.8143,0 ,0 ,,1080 ,969 ,0.8972,0 ,0 ,
Jiangsu,2019.0,1.0,20735 ,4246 ,0.2048,20545 ,2924 ,0.1423,20124 ,10363 ,0.5149,19941 ,7135 ,0.3578,14604 ,12419 ,0.8504,14471 ,8551 ,0.5909,8059 ,7173 ,0.8901,0 ,0 ,
Jiangsu,2020.0,1.0,21052 ,5445 ,0.2586,18677 ,3582 ,0.1918,22386 ,13293 ,0.5938,19860 ,8746 ,0.4404,16193 ,14199 ,0.8769,14366 ,9342 ,0.6503,9347 ,8540 ,0.9137000000000001,0 ,0 ,
Beijing,2000.0,2.0,0 ,0 ,,1043 ,80 ,0.0767,,,,,,,0 ,0 ,,2986 ,815 ,0.2731,0 ,0 ,,944 ,447 ,0.47340000000000004
Beijing,1998.0,2.0,0 ,0 ,,1808 ,98 ,0.0542,0 ,0 ,,2342 ,334 ,0.1426,0 ,0 ,,1432 ,516 ,0.3603,,,,,,
Shandong,2012.0,2.0,974 ,244 ,0.2505,963 ,126 ,0.1308,874 ,517 ,0.5915,908 ,315 ,0.3469,450 ,368 ,0.8178,561 ,317 ,0.5650999999999999,129 ,124 ,0.9612,244 ,186 ,0.7623000000000001
Zhejiang,2019.0,1.0,599 ,183 ,0.3061,469 ,126 ,0.26789999999999997,623 ,438 ,0.7038,488 ,301 ,0.6159,606 ,528 ,0.8713,476 ,363 ,0.7625,650 ,621 ,0.9558,509 ,426 ,0.8364
Tianjin,2018.0,1.0,2510 ,1733 ,0.6904,0 ,0 ,,4766 ,3843 ,0.8062999999999999,0 ,0 ,,6894 ,6074 ,0.8811,0 ,0 ,,,,,,,
Shandong,2015.0,1.0,5706 ,880 ,0.1542,0 ,0 ,,10564 ,6775 ,0.6413,0 ,0 ,,,,,,,,,,,,,
Shandong,2016.0,1.0,16040 ,2088 ,0.13019999999999998,0 ,0 ,,21003 ,13918 ,0.6627,0 ,0 ,,,,,,,,,,,,,
Shandong,2018.0,1.0,10936 ,1332 ,0.12179999999999999,0 ,0 ,,8488 ,6339 ,0.7468,0 ,0 ,,,,,,,,,,,,,
Shandong,2020.0,1.0,48326 ,13478 ,0.2789,0 ,0 ,,69406 ,49220 ,0.7092,0 ,0 ,,,,,,,,,,,,,
Shandong,2015.0,2.0,,,,,,,1368 ,378 ,0.2763,0 ,0 ,,3522 ,2166 ,0.615,0 ,0 ,,,,,,,
Beijing,2011.0,1.0,,,,,,,,,,,,,,,,,,,4677 ,4219 ,0.9020999999999999,0 ,0 ,
Zhejiang,2001.0,1.0,,,,,,,,,,,,,,,,,,,2418 ,1873 ,0.7746,0 ,0 ,
Zhejiang,2003.0,1.0,,,,,,,,,,,,,,,,,,,2462 ,2001 ,0.8126000000000001,0 ,0 ,
Zhejiang,2004.0,1.0,,,,,,,,,,,,,,,,,,,2654 ,2149 ,0.8096,0 ,0 ,
Zhejiang,2006.0,1.0,,,,,,,,,,,,,,,,,,,2974 ,2374 ,0.7981,0 ,0 ,
Zhejiang,2008.0,1.0,,,,,,,,,,,,,,,,,,,3055 ,2529 ,0.8277,0 ,0 ,
Zhejiang,2010.0,1.0,,,,,,,,,,,,,,,,,,,3276 ,2781 ,0.8488,0 ,0 ,
Zhejiang,2012.0,1.0,,,,,,,,,,,,,,,,,,,3283 ,2766 ,0.8426,0 ,0 ,
Zhejiang,2014.0,1.0,,,,,,,,,,,,,,,,,,,3151 ,2709 ,0.8595999999999999,0 ,0 ,
Guangdong,2014.0,2.0,,,,,,,0 ,0 ,,6293 ,696 ,0.1105,,,,,,,,,,,,
Guangdong,2002.0,2.0,1107 ,182 ,0.16440000000000002,0 ,0 ,,1287 ,525 ,0.4079,0 ,0 ,,1370 ,904 ,0.6598999999999999,0 ,0 ,,,,,,,
Guangdong,2005.0,2.0,,,,,,,,,,,,,1192 ,596 ,0.5,970 ,320 ,0.3299,,,,,,
Beijing,2010.0,1.0,3391 ,1218 ,0.3592,0 ,0 ,,2232 ,1330 ,0.5959,0 ,0 ,,4369 ,3409 ,0.7803,0 ,0 ,,5240 ,4579 ,0.8739,0 ,0 ,
Guangdong,2011.0,1.0,5738 ,1458 ,0.2541,0 ,0 ,,,,,,,,,,,,,,,,,,,
Guangdong,2014.0,1.0,,,,,,,5282 ,3250 ,0.6153,0 ,0 ,,,,,,,,,,,,,
Guangdong,2011.0,1.0,,,,,,,,,,,,,7186 ,5288 ,0.7359,0 ,0 ,,,,,,,
Shanghai,2013.0,2.0,907,169 ,0.1865,0 ,0 ,,183,83 ,0.4559,0 ,0 ,,183,121 ,0.6616,0 ,0 ,,260,211 ,0.8115000000000001,0 ,0 ,
Shanghai,2010.0,2.0,1881 ,286 ,0.152,0 ,0 ,,2713 ,1258 ,0.4636,0 ,0 ,,,,,,,,,,,,,
Shanghai,2012.0,1.0,220891 ,38492 ,0.1743,0 ,0 ,,172077 ,81402 ,0.4731,0 ,0 ,,86700 ,61420 ,0.7084,0 ,0 ,,,,,,,
Liaoning,2018.0,1.0,652 ,176 ,0.2706,561 ,124 ,0.2214,652 ,470 ,0.721,561 ,331 ,0.5898,579 ,527 ,0.9096,499 ,371 ,0.7441,1017 ,966 ,0.9503,0 ,0 ,
Beijing,2006.0,2.0,,,,,,,,,,,,,3657 ,1882 ,0.5146999999999999,0 ,0 ,,,,,,,
Beijing,2008.0,2.0,,,,,,,,,,,,,3662 ,1970 ,0.5379,0 ,0 ,,,,,,,
Beijing,2010.0,2.0,,,,,,,,,,,,,3897 ,2179 ,0.5593,0 ,0 ,,,,,,,
Beijing,2012.0,2.0,,,,,,,,,,,,,3816 ,2266 ,0.5937,0 ,0 ,,,,,,,
Beijing,2014.0,2.0,,,,,,,,,,,,,3833 ,2349 ,0.6129,0 ,0 ,,,,,,,
Beijing,2021.0,2.0,2538 ,936 ,0.3688,0 ,0 ,,2268 ,1615 ,0.7121,0 ,0 ,,,,,,,,,,,,,
Beijing,2011.0,1.0,382 ,82 ,0.214,0 ,0 ,,299 ,148 ,0.4935,0 ,0 ,,,,,,,,,,,,,
Beijing,2016.0,1.0,6175 ,2053 ,0.3325,0 ,0 ,,6757 ,4260 ,0.6304,0 ,0 ,,11254 ,9390 ,0.8344,0 ,0 ,,12483 ,10906 ,0.8737,0 ,0 ,
Shanghai,2010.0,2.0,1856 ,289 ,0.1557,0 ,0 ,,,,,,,,,,,,,,,,,,,
Shanghai,2012.0,2.0,566 ,153 ,0.2696,0 ,0 ,,1073 ,572 ,0.5331,0 ,0 ,,,,,,,,,,,,,
Jiangsu,2018.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin,2016.0,2.0,205 ,88 ,0.4293,0 ,0 ,,189 ,117 ,0.619,0 ,0 ,,172 ,147 ,0.8547,0 ,0 ,,,,,,,
Liaoning,2019.0,1.0,0 ,0 ,,1074 ,113 ,0.1051,0 ,0 ,,930 ,313 ,0.3367,,,,,,,,,,,,
Shandong,2019.0,1.0,0 ,0 ,,1177 ,150 ,0.12710000000000002,0 ,0 ,,1020 ,415 ,0.4073,,,,,,,,,,,,
Guangdong,2019.0,1.0,0 ,0 ,,744 ,75 ,0.1007,0 ,0 ,,645 ,208 ,0.32270000000000004,,,,,,,,,,,,
Liaoning,2018.0,1.0,1219 ,277 ,0.2271,0 ,0 ,,1219 ,838 ,0.6878,0 ,0 ,,1053 ,915 ,0.8689,0 ,0 ,,1014 ,942 ,0.929,0 ,0 ,
Shanghai,2016.0,2.0,777 ,406 ,0.5225,0 ,0 ,,254 ,169 ,0.6654000000000001,0 ,0 ,,,,,,,,,,,,,
Liaoning,2014.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning,2016.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,2014.0,1.0,1724 ,326 ,0.1891,0 ,0 ,,,,,,,,,,,,,,,,,,,
Shanghai,2016.0,1.0,602 ,123 ,0.2051,0 ,0 ,,1117 ,574 ,0.5134000000000001,0 ,0 ,,,,,,,,,,,,,
Jiangsu,2017.0,2.0,622 ,108 ,0.17370000000000002,0 ,0 ,,469 ,205 ,0.43670000000000003,0 ,0 ,,,,,,,,,,,,,
Shanghai,2017.0,1.0,929 ,230 ,0.24780000000000002,0 ,0 ,,417 ,132 ,0.3155,0 ,0 ,,,,,,,,,,,,,
Shanghai,2020.0,1.0,,,,,,,929 ,482 ,0.5191,0 ,0 ,,417 ,299 ,0.7167,0 ,0 ,,,,,,,
Jiangsu,2011.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,2013.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,2014.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2012.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu,2011.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,2013.0,2.0,2356 ,664 ,0.2818,0 ,0 ,,692 ,469 ,0.6781999999999999,0 ,0 ,,,,,,,,,,,,,
Guangdong,2009.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu,2015.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2017.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2018.0,1.0,4147 ,333 ,0.08039999999999999,0 ,0 ,,1331 ,408 ,0.3063,0 ,0 ,,,,,,,,,,,,,
Zhejiang,2014.0,1.0,6022 ,836 ,0.1388,0 ,0 ,,5933 ,2687 ,0.45289999999999997,0 ,0 ,,1042 ,754 ,0.7236,0 ,0 ,,,,,,,
Shanghai,2011.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2009.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu,2018.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2006.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2018.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2009.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang,2009.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin,2021.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu,2020.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang,2017.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2001.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2009.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2009.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2002.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2016.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2003.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin,2021.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu,2020.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu,2018.0,1.0,0 ,0 ,,971 ,235 ,0.242,0 ,0 ,,1022 ,659 ,0.6448,0 ,0 ,,1126 ,952 ,0.8454999999999999,0 ,0 ,,1070 ,993 ,0.9279999999999999
Zhejiang,2016.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang,2019.0,1.0,231783 ,53635 ,0.2314,47763 ,9480 ,0.1985,218620 ,126872 ,0.5803,45050 ,22426 ,0.4978,194750 ,158564 ,0.8142,40132 ,28028 ,0.6984,132626 ,117010 ,0.8823000000000001,27330 ,20683 ,0.7568
Guangdong,2007.0,2.0,,,,,,,,,,,,,0 ,0 ,,1892 ,1319 ,0.6973,,,,,,
Guangdong,2008.0,2.0,651 ,71 ,0.10980000000000001,0 ,0 ,,,,,,,,,,,,,,,,,,,
Jiangsu,2021.0,2.0,2496 ,620 ,0.2484,1561 ,264 ,0.16879999999999998,2496 ,1890 ,0.7574,1561 ,804 ,0.5146999999999999,1150 ,1078 ,0.9375,719 ,458 ,0.637,1251 ,1231 ,0.9837,783 ,523 ,0.6684
Zhejiang,2012.0,1.0,623 ,235 ,0.3772,0 ,0 ,,,,,,,,,,,,,,,,,,,
Zhejiang,2019.0,1.0,536 ,214 ,0.3993,0 ,0 ,,,,,,,,,,,,,,,,,,,
Jiangsu,2019.0,1.0,15467 ,2682 ,0.1734,0 ,0 ,,15423 ,8754 ,0.5676,0 ,0 ,,12073 ,9252 ,0.7663,0 ,0 ,,,,,,,
Jiangsu,2020.0,1.0,14679 ,2990 ,0.20370000000000002,0 ,0 ,,16186 ,9706 ,0.5996,0 ,0 ,,11099 ,8902 ,0.802,0 ,0 ,,,,,,,
Guangdong,2004.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin,2003.0,2.0,0 ,0 ,,237 ,11 ,0.0464,0 ,0 ,,286 ,40 ,0.1399,0 ,0 ,,177 ,68 ,0.38420000000000004,,,,,,
Beijing,2008.0,2.0,2822 ,829,0.2937,,,,2822 ,1375,0.48719999999999997,,,,4378,2793,0.638,,,,5295,3784,0.7145999999999999,,,
