英文省份,年份,验光方式1非散瞳；2散瞳；3试片,1-3年级城市人数,1-3年级城市近视人数,1-3年级城市患病率,1-3年级农村人数,1-3年级农村近视人数,1-3年级农村患病率,4-6年级城市人数,4-6年级城市近视人数,4-6年级城市患病率,4-6年级农村人数,4-6年级农村近视人数,4-6年级农村患病率,7-9年级城市人数,7-9年级城市近视人数,7-9年级城市近视率,7-9年级农村人数,7-9年级农村近视人数,7-9年级农村近视率,10-12年级城市人数,10-12年级城市近视人数,10-12年级城市近视率,10-12年级农村人数,10-12年级农村近视人数,10-12年级农村近视率
Beijing,2000.0,2.0,0 ,0 ,,1043 ,80 ,0.0767,,,,,,,0 ,0 ,,2986 ,815 ,0.2731,0 ,0 ,,944 ,447 ,0.47340000000000004
Beijing,1998.0,2.0,0 ,0 ,,1808 ,98 ,0.0542,0 ,0 ,,2342 ,334 ,0.1426,0 ,0 ,,1432 ,516 ,0.3603,,,,,,
Shandong,2012.0,2.0,974 ,244 ,0.2505,963 ,126 ,0.1308,874 ,517 ,0.5915,908 ,315 ,0.3469,450 ,368 ,0.8178,561 ,317 ,0.5650999999999999,129 ,124 ,0.9612,244 ,186 ,0.7623000000000001
Shandong,2015.0,2.0,,,,,,,1368 ,378 ,0.2763,0 ,0 ,,3522 ,2166 ,0.615,0 ,0 ,,,,,,,
Guangdong,2014.0,2.0,,,,,,,0 ,0 ,,6293 ,696 ,0.1105,,,,,,,,,,,,
Guangdong,2002.0,2.0,1107 ,182 ,0.16440000000000002,0 ,0 ,,1287 ,525 ,0.4079,0 ,0 ,,1370 ,904 ,0.6598999999999999,0 ,0 ,,,,,,,
Guangdong,2005.0,2.0,,,,,,,,,,,,,1192 ,596 ,0.5,970 ,320 ,0.3299,,,,,,
Shanghai,2013.0,2.0,907,169 ,0.1865,0 ,0 ,,183,83 ,0.4559,0 ,0 ,,183,121 ,0.6616,0 ,0 ,,260,211 ,0.8115000000000001,0 ,0 ,
Shanghai,2010.0,2.0,1881 ,286 ,0.152,0 ,0 ,,2713 ,1258 ,0.4636,0 ,0 ,,,,,,,,,,,,,
Beijing,2006.0,2.0,,,,,,,,,,,,,3657 ,1882 ,0.5146999999999999,0 ,0 ,,,,,,,
Beijing,2008.0,2.0,,,,,,,,,,,,,3662 ,1970 ,0.5379,0 ,0 ,,,,,,,
Beijing,2010.0,2.0,,,,,,,,,,,,,3897 ,2179 ,0.5593,0 ,0 ,,,,,,,
Beijing,2012.0,2.0,,,,,,,,,,,,,3816 ,2266 ,0.5937,0 ,0 ,,,,,,,
Beijing,2014.0,2.0,,,,,,,,,,,,,3833 ,2349 ,0.6129,0 ,0 ,,,,,,,
Beijing,2021.0,2.0,2538 ,936 ,0.3688,0 ,0 ,,2268 ,1615 ,0.7121,0 ,0 ,,,,,,,,,,,,,
Shanghai,2010.0,2.0,1856 ,289 ,0.1557,0 ,0 ,,,,,,,,,,,,,,,,,,,
Shanghai,2012.0,2.0,566 ,153 ,0.2696,0 ,0 ,,1073 ,572 ,0.5331,0 ,0 ,,,,,,,,,,,,,
Tianjin,2016.0,2.0,205 ,88 ,0.4293,0 ,0 ,,189 ,117 ,0.619,0 ,0 ,,172 ,147 ,0.8547,0 ,0 ,,,,,,,
Shanghai,2016.0,2.0,777 ,406 ,0.5225,0 ,0 ,,254 ,169 ,0.6654000000000001,0 ,0 ,,,,,,,,,,,,,
Liaoning,2014.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Liaoning,2016.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu,2017.0,2.0,622 ,108 ,0.17370000000000002,0 ,0 ,,469 ,205 ,0.43670000000000003,0 ,0 ,,,,,,,,,,,,,
Jiangsu,2011.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,2014.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2012.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai,2013.0,2.0,2356 ,664 ,0.2818,0 ,0 ,,692 ,469 ,0.6781999999999999,0 ,0 ,,,,,,,,,,,,,
Guangdong,2009.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2017.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2009.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Jiangsu,2018.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2006.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2018.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2009.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2001.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2009.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,2002.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2016.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Zhejiang,2016.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Guangdong,2007.0,2.0,,,,,,,,,,,,,0 ,0 ,,1892 ,1319 ,0.6973,,,,,,
Guangdong,2008.0,2.0,651 ,71 ,0.10980000000000001,0 ,0 ,,,,,,,,,,,,,,,,,,,
Jiangsu,2021.0,2.0,2496 ,620 ,0.2484,1561 ,264 ,0.16879999999999998,2496 ,1890 ,0.7574,1561 ,804 ,0.5146999999999999,1150 ,1078 ,0.9375,719 ,458 ,0.637,1251 ,1231 ,0.9837,783 ,523 ,0.6684
Guangdong,2004.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Tianjin,2003.0,2.0,0 ,0 ,,237 ,11 ,0.0464,0 ,0 ,,286 ,40 ,0.1399,0 ,0 ,,177 ,68 ,0.38420000000000004,,,,,,
Beijing,2008.0,2.0,2822 ,829,0.2937,,,,2822 ,1375,0.48719999999999997,,,,4378,2793,0.638,,,,5295,3784,0.7145999999999999,,,
Jiangsu,2019.0,2.0,,0 ,,3257 ,726 ,0.223,,,,,,,,,,,,,,,,,,
Jiangsu,2020.0,2.0,1643,,,2171,,,,,,1086,,,,,,,,,,,,,,
Zhejiang,2012.0,2.0,828,188,0.2271,,,,828,569,0.6878,,,,,,,,,,,,,,,
Beijing,2011.0,2.0,2923,727,0.2488,,,,1326,833,0.6286,,,,,,,,,,,,,,,
Liaoning,2012.0,2.0,616,112,0.1818,,,,438,243,0.5559000000000001,,,,566,410,0.7243999999999999,,,,,,,,,
Shaanxi,2012.0,2.0,,,,,,,0 ,0 ,,9967 ,2308 ,0.2316,,,,,,,,,,,,
Inner Mongolia,2013.0,2.0,0 ,0 ,,560 ,183 ,0.3268,0 ,0 ,,398 ,255 ,0.6406999999999999,0 ,0 ,,374 ,293 ,0.7834,0 ,0 ,,233 ,192 ,0.8240000000000001
Chongqing,2006.0,2.0,891 ,19 ,0.0209,0 ,0 ,,1010 ,116 ,0.1148,0 ,0 ,,1169 ,282 ,0.2412,0 ,0 ,,,,,,,
Heilongjiang,2008.0,2.0,0 ,0 ,,436 ,4 ,0.0092,0 ,0 ,,584 ,26 ,0.044500000000000005,,,,,,,0 ,0 ,,655 ,54 ,0.0824
Hubei,2017.0,2.0,12872 ,3104 ,0.24109999999999998,4083 ,325 ,0.0796,,,,,,,,,,,,,,,,,,
Hubei,2014.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Inner Mongolia,2020.0,2.0,11804 ,3382 ,0.2865,24862 ,6843 ,0.2752,11776 ,6917 ,0.5874,24806 ,13997 ,0.5643,11685 ,8945 ,0.7655,24613 ,18099 ,0.7354,10303 ,8756 ,0.8498,21703 ,17716 ,0.8162999999999999
Hubei,2017.0,2.0,0 ,0 ,,13244 ,3059 ,0.231,,,,,,,,,,,,,,,,,,
Hubei,2019.0,2.0,0 ,0 ,,4098 ,1050 ,0.2562,0 ,0 ,,6603 ,2509 ,0.38,,,,,,,,,,,,
Jilin,2004.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Fujian,1998.0,2.0,132 ,24 ,0.1793,104 ,8 ,0.0758,,,,,,,,,,,,,,,,,,
Fujian,2020.0,2.0,1956 ,257 ,0.13119999999999998,1284 ,163 ,0.1272,1963 ,867 ,0.44189999999999996,1288 ,436 ,0.3383,1964 ,1337 ,0.6809999999999999,1289 ,851 ,0.6598999999999999,1922 ,1530 ,0.7961,1261 ,973 ,0.7715000000000001
Fujian,1999.0,2.0,119,26,0.2181,91,7,0.0746,,,,,,,,,,,,,,,,,,
Xinjiang,2013.0,2.0,211 ,22 ,0.1052,0 ,0 ,,158 ,39 ,0.2468,0 ,0 ,,158 ,48 ,0.3038,0 ,0 ,,,,,,,
Henan,2017.0,2.0,,,,,,,1887 ,662 ,0.3506,0 ,0 ,,,,,,,,,,,,,
Hebei,2010.0,2.0,0 ,0 ,,286 ,35 ,0.1231,0 ,0 ,,286 ,65 ,0.2267,0 ,0 ,,152 ,56 ,0.3653,0 ,0 ,,152 ,111 ,0.731
Xinjiang,2019.0,2.0,18702 ,6780 ,0.3625,4218 ,670 ,0.1588,18708 ,12133 ,0.6485,3219 ,1388 ,0.43119999999999997,11947 ,9531 ,0.7978000000000001,4004 ,1901 ,0.47479999999999994,4444 ,3785 ,0.8517,5451 ,2542 ,0.46630000000000005
Hainan,2003.0,2.0,0 ,0 ,,1173 ,7 ,0.0059,0 ,0 ,,1173 ,38 ,0.0326,0 ,0 ,,2435 ,59 ,0.0242,0 ,0 ,,1590 ,58 ,0.0365
Xinjiang,2013.0,2.0,,,,,,,,,,,,,2462 ,1367 ,0.5552,0 ,0 ,,,,,,,
Hainan,2013.0,2.0,635 ,105 ,0.1654,0 ,0 ,,583 ,201 ,0.3448,0 ,0 ,,,,,,,,,,,,,
Jiangxi,2005.0,2.0,1591 ,111 ,0.0697,0 ,0 ,,,,,,,,,,,,,,,,,,,
Henan,2008.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Henan,2010.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Henan,2005.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang,2017.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Hunan,2021.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,2006.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Henan,2014.0,2.0,7921 ,1175 ,0.1483,0 ,0 ,,,,,,,,,,,,,,,,,,,
Henan,2017.0,2.0,,,,,,,6889 ,3392 ,0.4924,0 ,0 ,,,,,,,,,,,,,
Yunnan,2014.0,2.0,0 ,0 ,,1589 ,344 ,0.2165,0 ,0 ,,4023 ,1583 ,0.3935,0 ,0 ,,2069 ,1079 ,0.5215,,,,,,
Gansu,2012.0,2.0,,,,,,,0 ,0 ,,9967 ,1863 ,0.1869,,,,,,,,,,,,
Tibet,2019.0,2.0,1856 ,157 ,0.08439999999999999,0 ,0 ,,,,,,,,,,,,,,,,,,,
Yunnan,2014.0,2.0,,,,,,,0 ,0 ,,3744 ,185 ,0.049400000000000006,,,,,,,,,,,,
Qinghai,2005.0,2.0,0 ,0 ,,542 ,23 ,0.0431,0 ,0 ,,542 ,60 ,0.1109,,,,,,,,,,,,
Anhui,2020.0,2.0,,,,,,,,,,,,,2645 ,1801 ,0.6809000000000001,3509 ,2234 ,0.6365999999999999,,,,,,
Yunnan,2019.0,2.0,0 ,0 ,,8579 ,681 ,0.0794,0 ,0 ,,15717 ,3715 ,0.2364,,,,,,,,,,,,
Qinghai,2020.0,2.0,1412 ,215 ,0.1523,0 ,0 ,,1077 ,477 ,0.44329999999999997,0 ,0 ,,,,,,,,,,,,,
Gansu,2006.0,2.0,548 ,55 ,0.1007,302 ,10 ,0.0345,548 ,128 ,0.2341,302 ,24 ,0.0802,548 ,241 ,0.44020000000000004,302 ,46 ,0.1509,548 ,416 ,0.6265999999999999,302 ,65 ,0.2148
Gansu,2012.0,2.0,0 ,0 ,,1270 ,114 ,0.0898,0 ,0 ,,1268 ,318 ,0.25079999999999997,,,,,,,,,,,,
Guangxi,2011.0,2.0,1341 ,264 ,0.1967,0 ,0 ,,,,,,,,1076 ,541 ,0.5024000000000001,0 ,0 ,,,,,,,
Yunnan,2016.0,2.0,0 ,0 ,,2432 ,98 ,0.0403,,,,,,,0 ,0 ,,2346 ,763 ,0.32539999999999997,,,,,,
Tibet,2020.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai,2019.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
