"year","g1","g2","g3","g4"
1998,-0.090014447088457,-0.218397561844676,-0.131011400094099,-0.387542433776223
1999,-0.0885450238025808,-0.212337033383455,-0.129121250846771,-0.375015787570324
2000,-0.0870756005167046,-0.206276504922234,-0.127231101599444,-0.362489141364424
2001,-0.0856061772308284,-0.200215976461013,-0.125340952352116,-0.349962495158525
2002,-0.0841367539449523,-0.194155447999792,-0.123450803104789,-0.337435848952625
2003,-0.0826673306590761,-0.188094919538571,-0.121560653857461,-0.324909202746725
2004,-0.0811979073731999,-0.18203439107735,-0.119670504610133,-0.312382556540826
2005,-0.0797284840873237,-0.175973862616129,-0.117780355362806,-0.299855910334926
2006,-0.0782590608014476,-0.169913334154908,-0.115890206115478,-0.287329264129027
2007,-0.0767896375155714,-0.163852805693687,-0.11400005686815,-0.274802617923127
2008,-0.0753202142296952,-0.157792277232466,-0.112109907620823,-0.262275971717228
2009,-0.073850790943819,-0.151731748771245,-0.110219758373495,-0.249749325511328
2010,-0.0723813676579429,-0.145671220310024,-0.108329609126168,-0.237222679305429
2011,-0.0709119443720667,-0.139610691848804,-0.10643945987884,-0.224696033099529
2012,-0.0694425210861905,-0.133550163387583,-0.104549310631512,-0.212169386893629
2013,-0.0679730978003143,-0.127489634926362,-0.102659161384185,-0.19964274068773
2014,-0.0665036745144381,-0.121429106465141,-0.100769012136857,-0.18711609448183
2015,-0.065034251228562,-0.11536857800392,-0.0988788628895296,-0.174589448275931
2016,-0.0635648279426858,-0.109308049542699,-0.096988713642202,-0.162062802070031
2017,-0.0620954046568096,-0.103247521081478,-0.0950985643948744,-0.149536155864132
2018,-0.0606259813709334,-0.0971869926202569,-0.0932084151475467,-0.137009509658232
2019,-0.0591565580850573,-0.091126464159036,-0.0913182659002191,-0.124482863452332
2020,-0.0576871347991811,-0.085065935697815,-0.0894281166528915,-0.111956217246433
2021,-0.0562177115133049,-0.0790054072365941,-0.0875379674055639,-0.0994295710405333
2022,-0.0547482882274287,-0.0729448787753731,-0.0856478181582363,-0.0869029248346337
2023,-0.0532788649415525,-0.0668843503141522,-0.0837576689109087,-0.0743762786287341
