"year","g1","g2","g3","g4"
1998,-0.174676695832977,-0.226068930418218,-0.227802800353178,-0.230392678566123
1999,-0.163585661681885,-0.212833856082271,-0.218826712479731,-0.217929766904948
2000,-0.152494627530792,-0.199598781746324,-0.209850624606283,-0.205466855243773
2001,-0.141403593379699,-0.186363707410376,-0.200874536732835,-0.193003943582599
2002,-0.130312559228606,-0.173128633074429,-0.191898448859388,-0.180541031921424
2003,-0.119221525077514,-0.159893558738482,-0.18292236098594,-0.168078120260249
2004,-0.108130490926421,-0.146658484402534,-0.173946273112492,-0.155615208599074
2005,-0.0970394567753282,-0.133423410066587,-0.164970185239045,-0.143152296937899
2006,-0.0859484226242355,-0.12018833573064,-0.155994097365597,-0.130689385276725
2007,-0.0748573884731428,-0.106953261394692,-0.147018009492149,-0.11822647361555
2008,-0.0637663543220501,-0.093718187058745,-0.138041921618702,-0.105763561954375
2009,-0.0526753201709574,-0.0804831127227976,-0.129065833745254,-0.0933006502932002
2010,-0.0415842860198646,-0.0672480383868503,-0.120089745871806,-0.0808377386320254
2011,-0.0304932518687719,-0.054012964050903,-0.111113657998359,-0.0683748269708506
2012,-0.0194022177176792,-0.0407778897149556,-0.102137570124911,-0.0559119153096757
2013,-0.00831118356658651,-0.0275428153790083,-0.0931614822514633,-0.0434490036485009
2014,0.00277985058450621,-0.0143077410430609,-0.0841853943780157,-0.0309860919873261
2015,0.0138708847355989,-0.00107266670711359,-0.075209306504568,-0.0185231803261513
2016,0.0249619188866916,0.0121624076288337,-0.0662332186311204,-0.0060602686649765
2017,0.0360529530377844,0.0253974819647811,-0.0572571307576727,0.00640264299619831
2018,0.0471439871888771,0.0386325563007284,-0.0482810428842251,0.0188655546573731
2019,0.0582350213399698,0.0518676306366758,-0.0393049550107774,0.0313284663185479
2020,0.0693260554910625,0.0651027049726231,-0.0303288671373297,0.0437913779797227
2021,0.0804170896421552,0.0783377793085705,-0.0213527792638821,0.0562542896408976
2022,0.0915081237932479,0.0915728536445178,-0.0123766913904344,0.0687172013020724
2023,0.102599157944341,0.104807927980465,-0.00340060351698676,0.0811801129632472
