"year","g1","g2","g3","g4"
1998,0.296160423976484,0.700885525176512,1.01578839139084,1.40199735338451
1999,0.308058169183741,0.722290768141004,1.0413769627799,1.4171044209659
2000,0.319955914390998,0.743696011105496,1.06696553416895,1.4322114885473
2001,0.331853659598255,0.765101254069987,1.09255410555801,1.44731855612869
2002,0.343751404805512,0.786506497034479,1.11814267694707,1.46242562371009
2003,0.355649150012769,0.807911739998971,1.14373124833613,1.47753269129149
2004,0.367546895220027,0.829316982963462,1.16931981972518,1.49263975887288
2005,0.379444640427284,0.850722225927954,1.19490839111424,1.50774682645428
2006,0.391342385634541,0.872127468892446,1.2204969625033,1.52285389403567
2007,0.403240130841798,0.893532711856937,1.24608553389235,1.53796096161707
2008,0.415137876049055,0.914937954821429,1.27167410528141,1.55306802919846
2009,0.427035621256312,0.936343197785921,1.29726267667047,1.56817509677986
2010,0.438933366463569,0.957748440750412,1.32285124805952,1.58328216436125
2011,0.450831111670827,0.979153683714904,1.34843981944858,1.59838923194265
2012,0.462728856878084,1.0005589266794,1.37402839083764,1.61349629952404
2013,0.474626602085341,1.02196416964389,1.39961696222669,1.62860336710544
2014,0.486524347292598,1.04336941260838,1.42520553361575,1.64371043468683
2015,0.498422092499855,1.06477465557287,1.45079410500481,1.65881750226823
2016,0.510319837707112,1.08617989853736,1.47638267639387,1.67392456984962
2017,0.522217582914369,1.10758514150185,1.50197124778292,1.68903163743102
2018,0.534115328121627,1.12899038446635,1.52755981917198,1.70413870501241
2019,0.546013073328884,1.15039562743084,1.55314839056104,1.71924577259381
2020,0.557910818536141,1.17180087039533,1.57873696195009,1.7343528401752
2021,0.569808563743398,1.19320611335982,1.60432553333915,1.7494599077566
2022,0.581706308950655,1.21461135632431,1.62991410472821,1.76456697533799
2023,0.593604054157912,1.2360165992888,1.65550267611726,1.77967404291939
