"year","g1","g2","g3","g4"
1998,0.113969832753628,0.187007143942326,0.376739240183183,0.615184095753948
1999,0.119943511880145,0.200015234293146,0.390749063492483,0.621404868385523
2000,0.125941861752009,0.213122580166704,0.404784572625258,0.627608336177421
2001,0.131969133832569,0.226351221239399,0.418851794921833,0.633794436402113
2002,0.138021914693213,0.239712100370475,0.432955181260356,0.639980160261621
2003,0.14409487468234,0.253213386214891,0.447098788403428,0.646186762440355
2004,0.150182684148347,0.266863247427602,0.461286673113654,0.652435497622729
2005,0.156280013439634,0.280669852663568,0.475522892153634,0.658747620493151
2006,0.162382499427507,0.294640808954145,0.489811298097101,0.665149591696825
2007,0.168489645074907,0.308781476836295,0.504154926762296,0.671688695722122
2008,0.174601919867679,0.323096655223382,0.518556609778592,0.678417423018203
2009,0.180719793291672,0.337591143028767,0.53301917877536,0.685388264034231
2010,0.186843734832734,0.352269739165812,0.547545465381969,0.692653709219369
2011,0.192978892207694,0.367139885566652,0.562138687265863,0.700271414863698
2012,0.199149126057315,0.382219596238504,0.576803606246768,0.708319700620984
2013,0.205382975253344,0.397529528207357,0.591545370182481,0.716882051985913
2014,0.211708978667526,0.413090338499199,0.606369126930798,0.72604195445317
2015,0.218159070163343,0.428925487856733,0.62128044940537,0.735885044702042
2016,0.224778763571221,0.445069651889508,0.636286610743255,0.746505564150215
2017,0.231616967713324,0.461560309923788,0.651395309137364,0.757999905399977
2018,0.238711582167991,0.478417493038626,0.666609785544937,0.770409201878115
2019,0.246053833214334,0.495594923176932,0.68191604646021,0.783559817616579
2020,0.253608763938193,0.51303841679042,0.697296512573034,0.797240662360744
2021,0.261317341585612,0.53067533129584,0.712727993113029,0.81123335085376
2022,0.269104205145266,0.548411142381436,0.728185070861695,0.825374213696522
2023,0.276904116356959,0.566163436230395,0.743646414811807,0.839539772264243
