,province,hdistate,rate
0,Anhui,low,0.5373873065603373
1,Beijing,high,0.5502245473886044
2,Chongqing,medium,0.5361904737523152
3,Fujian,medium,0.5171883011518958
4,Gansu,low,0.5051232185029243
5,Guangdong,high,0.4746969750247964
6,Guangxi,low,0.46914500882196264
7,Guizhou,low,0.49457154188569236
8,Hainan,medium,0.5085271927607574
9,Hebei,medium,0.572160052983004
10,Heilongjiang,medium,0.600441683943375
11,Henan,medium,0.5498292485143869
12,Hubei,medium,0.5267421501361732
13,Hunan,medium,0.5146647308203142
14,Inner Mongolia,high,0.5681588826147698
15,Jiangsu,high,0.5847370485496944
16,Jiangxi,low,0.5666973283726424
17,Jilin,high,0.6006557909356537
18,Liaoning,high,0.5621740168828963
19,Ningxia,low,0.5218830446386661
20,Qinghai,low,0.4899101926569693
21,Shaanxi,medium,0.54084275031514
22,Shandong,high,0.579270867969499
23,Shanghai,high,0.5878707548198996
24,Shanxi,medium,0.5584707387580583
25,Sichuan,low,0.5782585675185502
26,Tianjin,high,0.5997543392380313
27,Tibet,low,0.5171901576490073
28,Xinjiang,low,0.4442619893113215
29,Yunnan,low,0.4658517474671731
30,Zhejiang,high,0.5550658329249986
