,year,myopia_rate_urban,myopia_rate_rural
0,1998,0.46075860846844047,0.3172268150505873
1,1999,0.4683792873728595,0.3212213337334073
2,2000,0.46564857953866523,0.3510031161242051
3,2001,0.4663051161704574,0.3054582565573857
4,2002,0.4955801756214783,0.3231746678573407
5,2003,0.483535533607091,0.2777094492085222
6,2004,0.4897403167653607,0.3264741374678288
7,2005,0.5463420844595513,0.43994546872904233
8,2006,0.48132608631810875,0.2993577586982843
9,2007,0.5382111609355574,0.4034656781059793
10,2008,0.545077050489744,0.36047048942799365
11,2009,0.5537987908737066,0.4019311687601455
12,2010,0.6454187518419622,0.53563916675007
13,2011,0.5916575055925934,0.46325901702062167
14,2012,0.5991649726683417,0.4560758182419159
15,2013,0.5794520503003965,0.5191483449230516
16,2014,0.6370432491107404,0.5185359872760676
17,2015,0.593521865762737,0.4924475458581039
18,2016,0.5833520207513431,0.46532772329100996
19,2017,0.5411991223922608,0.44472771346455464
20,2018,0.5611428993542693,0.4627158729814746
21,2019,0.5787741416401071,0.4747675899325067
22,2020,0.5775771779790656,0.49963073956733633
23,2021,0.5910819331795334,0.4891677685206533
24,2022,0.5808986504878341,0.48866024544321635
