"","year","rate_urban","fitted_urban","upper_urban","lower_urban","rate_rural","fitted_rural","upper_rural","lower_rural"
"1",1998,0.46075860846844,0.459252011610466,0.516191314444922,0.40231270877601,0.317226815050587,0.300876372999844,0.376332875892614,0.225419870107075
"2",1999,0.468379287372859,0.468205915569756,0.525145218404212,0.4112666127353,0.321221333733407,0.309541905867217,0.384998408759986,0.234085402974447
"3",2000,0.465648579538665,0.477161670768628,0.534100973603084,0.420222367934172,0.351003116124205,0.316987837100082,0.392444339992851,0.241531334207312
"4",2001,0.466305116170457,0.486118954368567,0.543058257203022,0.42917965153411,0.305458256557386,0.32343528906721,0.398891791959979,0.24797878617444
"5",2002,0.495580175621478,0.495064243293283,0.552003546127739,0.438124940458827,0.323174667857341,0.330520633090278,0.405977135983047,0.255064130197508
"6",2003,0.483535533607091,0.503965879236355,0.560905182070811,0.447026576401899,0.277709449208522,0.339210050426548,0.414666553319317,0.263753547533778
"7",2004,0.489740316765361,0.512784531957179,0.569723834791635,0.455845229122723,0.326474137467829,0.350697307921734,0.426153810814504,0.275240805028965
"8",2005,0.546342084459551,0.521459923413952,0.578399226248408,0.464520620579496,0.439945468729042,0.363845848314024,0.439302351206793,0.288389345421254
"9",2006,0.481326086318109,0.529914148200751,0.586853451035207,0.472974845366295,0.299357758698284,0.376881408171409,0.452337911064178,0.301424905278639
"10",2007,0.538211160935557,0.538074906373796,0.595014209208252,0.48113560353934,0.403465678105979,0.392077177741887,0.467533680634657,0.316620674849117
"11",2008,0.545077050489744,0.545835872254692,0.602775175089148,0.488896569420236,0.360470489427994,0.408429713148251,0.483886216041021,0.332973210255482
"12",2009,0.553798790873707,0.553080913977451,0.610020216811907,0.496141611142995,0.401931168760146,0.426062858509632,0.501519361402401,0.350606355616862
"13",2010,0.645418751841962,0.559693461397331,0.616632764231787,0.502754158562875,0.53563916675007,0.443184051394127,0.518640554286896,0.367727548501357
"14",2011,0.591657505592593,0.565574594425903,0.622513897260359,0.508635291591447,0.463259017020622,0.456682303205231,0.532138806098001,0.381225800312461
"15",2012,0.599164972668342,0.570699680435725,0.627638983270181,0.513760377601269,0.456075818241916,0.467368916548587,0.542825419441357,0.391912413655818
"16",2013,0.579452050300396,0.575087996390433,0.632027299224889,0.518148693555977,0.519148344923052,0.475592993523722,0.551049496416492,0.400136490630952
"17",2014,0.63704324911074,0.578787816354922,0.635727119189378,0.521848513520466,0.518535987276068,0.480317748412449,0.555774251305219,0.404861245519679
"18",2015,0.593521865762737,0.581868347582067,0.638807650416523,0.524929044747611,0.492447545858104,0.481839722978895,0.557296225871664,0.406383220086125
"19",2016,0.583352020751343,0.584448838979978,0.641388141814434,0.527509536145522,0.46532772329101,0.481640101312395,0.557096604205165,0.406183598419626
"20",2017,0.541199122392261,0.586669391414563,0.643608694249019,0.529730088580107,0.444727713464555,0.481418177422883,0.556874680315652,0.405961674530113
"21",2018,0.561142899354269,0.588662429081576,0.645601731916032,0.53172312624712,0.462715872981475,0.482292351939238,0.557748854832008,0.406835849046468
"22",2019,0.578774141640107,0.590518079079923,0.647457381914379,0.533578776245467,0.474767589932507,0.484129596541116,0.559586099433886,0.408673093648346
"23",2020,0.577577177979066,0.592292852991745,0.649232155826201,0.535353550157288,0.499630739567336,0.486361025215422,0.561817528108192,0.410904522322652
"24",2021,0.591081933179533,0.594025336458284,0.65096463929274,0.537086033623828,0.489167768520653,0.488271432591653,0.563727935484423,0.412814929698884
"25",2022,0.580898650487834,0.595739336064881,0.652678638899337,0.538800033230425,0.488660245443216,0.489877049547446,0.565333552440216,0.414420546654676
