,province,hdistate,rate
0,Anhui,low,0.5427151706097666
1,Beijing,high,0.5502245473886044
2,Chongqing,medium,0.5401434953381358
3,Fujian,medium,0.5213184163649719
4,Gansu,low,0.5115648274429269
5,Guangdong,high,0.4781551768390539
6,Guangxi,low,0.4764196112348567
7,Guizhou,low,0.5017188476134512
8,Hainan,medium,0.5146857350680378
9,Hebei,medium,0.5786805081284965
10,Heilongjiang,medium,0.6051683832636667
11,Henan,medium,0.5567900309382599
12,Hubei,medium,0.5315403846238087
13,Hunan,medium,0.5205370695661502
14,Inner Mongolia,high,0.5724834476557474
15,Jiangsu,high,0.5877748127590107
16,Jiangxi,low,0.5727904490153145
17,Jilin,high,0.6064548520697258
18,Liaoning,high,0.5664345388197236
19,Ningxia,low,0.527511261416132
20,Qinghai,low,0.49626008748828987
21,Shaanxi,medium,0.5471094706725182
22,Shandong,high,0.5852017629129865
23,Shanghai,high,0.5878707548198996
24,Shanxi,medium,0.5644415867304979
25,Sichuan,low,0.5849756424301639
26,Tianjin,high,0.602092070434276
27,Tibet,low,0.5265640090537868
28,Xinjiang,low,0.4493608529808258
29,Yunnan,low,0.4720064031057661
30,Zhejiang,high,0.5585822791962385
