,year,age_group,myopia_rate_urban,myopia_rate_rural
0,1998,1,0.1705689769166776,0.11994448040467591
1,1998,2,0.26473829987939607,0.18652354289142167
2,1998,3,0.5424107478196821,0.46408429584698774
3,1998,4,0.7404160629316802,0.5717351469875295
4,1999,1,0.17979245865851415,0.1241556423450193
5,1999,2,0.27612387717193126,0.19203627769316128
6,1999,3,0.5534240792542268,0.47054966381099506
7,1999,4,0.74095964849687,0.570767142299818
8,2000,1,0.15259464146201135,0.16936860529135708
9,2000,2,0.27443195329663095,0.21394207485947717
10,2000,3,0.5468974997815601,0.5272872056001794
11,2000,4,0.7559704503800007,0.5937602123686788
12,2001,1,0.16794731138545801,0.12024083371986749
13,2001,2,0.2765102044387542,0.18234093395222306
14,2001,3,0.5543560171870142,0.4452214892210753
15,2001,4,0.7404026815551293,0.5435212304213288
16,2002,1,0.18407908152896157,0.1323090170041905
17,2002,2,0.3333441505565835,0.2111525028228712
18,2002,3,0.5926762215483254,0.45740798464414745
19,2002,4,0.7469205712393772,0.5527841282785211
20,2003,1,0.17761825099209314,0.1158417368341827
21,2003,2,0.31208308659107953,0.18558637462231248
22,2003,3,0.5720226631050985,0.3969121685764597
23,2003,4,0.7464723236248326,0.46252121879149455
24,2004,1,0.1833292500590409,0.13124568367127737
25,2004,2,0.3232636147139291,0.21985180195243081
26,2004,3,0.5796030942670828,0.4690318692445954
27,2004,4,0.7476034332513474,0.5402255189056084
28,2005,1,0.24629201583106725,0.24556173576694568
29,2005,2,0.4341862979621326,0.3625936506557267
30,2005,3,0.6229481566798669,0.5943654852642472
31,2005,4,0.7653872005584458,0.6290510496723773
32,2006,1,0.1602070050575279,0.12746917672378208
33,2006,2,0.3027579178281245,0.20241195721889702
34,2006,3,0.5546616031469643,0.4160421587220936
35,2006,4,0.7289028967722996,0.4669257886691179
36,2007,1,0.22375600532343667,0.1905640965866599
37,2007,2,0.3978987919152128,0.299052365659527
38,2007,3,0.613743344960892,0.5877580922602729
39,2007,4,0.7572223274373294,0.5582080540795834
40,2008,1,0.22192430927242868,0.16248296711207505
41,2008,2,0.42837666941897085,0.27062131207618206
42,2008,3,0.6150016614551501,0.5685014785045628
43,2008,4,0.7580267704088206,0.4733679850202407
44,2009,1,0.22863852264679066,0.19020644016097335
45,2009,2,0.43301567692966086,0.3148430054169083
46,2009,3,0.6248542787779665,0.5639987140514593
47,2009,4,0.7697006380542587,0.565682479240211
48,2010,1,0.35137816636209623,0.3120301445211428
49,2010,2,0.5674836247321481,0.48808557534394076
50,2010,3,0.7258082403617299,0.6759594878173446
51,2010,4,0.8116255828145715,0.7074086536284114
52,2011,1,0.2553187723044295,0.22209300242696148
53,2011,2,0.5029755276329215,0.3828938589143137
54,2011,3,0.662005980189718,0.6411204225434749
55,2011,4,0.7947157915206043,0.6396442099036508
56,2012,1,0.2369389484084454,0.18645630148935982
57,2012,2,0.5168130248732227,0.3664570338712776
58,2012,3,0.66834184816614,0.6121504077584963
59,2012,4,0.813830402463516,0.6778199782852415
60,2013,1,0.23558849519708877,0.25618392703518483
61,2013,2,0.47983986502461967,0.46637660146887344
62,2013,3,0.6452106959721747,0.6644650051774299
63,2013,4,0.7963034924235006,0.7083293766704748
64,2014,1,0.336663518720952,0.3025532690478308
65,2014,2,0.5764963318416394,0.44924376951080613
66,2014,3,0.7250811243836395,0.6684810113345039
67,2014,4,0.7915384035442715,0.6902457656006464
68,2015,1,0.24151748760073766,0.20463473750633665
69,2015,2,0.5069493204917682,0.4377013010844004
70,2015,3,0.6696862770535854,0.6505762058615853
71,2015,4,0.8006633580691925,0.699484283639823
72,2016,1,0.28288274163817956,0.19518542366514682
73,2016,2,0.5584213721811679,0.48049863293019784
74,2016,3,0.7042112579790869,0.6229529631409608
75,2016,4,0.8074196502409359,0.7279990046287789
76,2017,1,0.2512209837506122,0.18237829885756424
77,2017,2,0.4428237633630529,0.3968999544862126
78,2017,3,0.6858792150061799,0.6444150089221292
79,2017,4,0.8007459078542124,0.726107396341457
80,2018,1,0.22298795547718536,0.1742843001951261
81,2018,2,0.5107188918107223,0.4353536066483998
82,2018,3,0.7180883160016613,0.6788656021287781
83,2018,4,0.814660094074296,0.7431587290121262
84,2019,1,0.3080832812267507,0.242948499973136
85,2019,2,0.6020649800455611,0.5139824087916581
86,2019,3,0.6115582878196474,0.5589291922494611
87,2019,4,0.8090328521973146,0.7671485110687714
88,2020,1,0.24626778312035844,0.2272837887243607
89,2020,2,0.5459800785627108,0.48379192830429746
90,2020,3,0.7203065124143901,0.6863315422498085
91,2020,4,0.8196295823330091,0.7618744445767689
92,2021,1,0.27502565249478933,0.22531728494528014
93,2021,2,0.5813066054165925,0.496877331862087
94,2021,3,0.7089288356023358,0.6497773408709023
95,2021,4,0.820066792440888,0.750907656181486
96,2022,1,0.2776820360485474,0.23211961016818858
97,2022,2,0.5743740677193004,0.49931690707899695
98,2022,3,0.6811094623080637,0.6354214545694359
99,2022,4,0.8099341850261497,0.7563896709350921
