,year,hdistate,age_group,rate
0,1998,high,1,0.1545123116041423
1,1998,high,2,0.22823773846907647
2,1998,high,3,0.4946567152207241
3,1998,high,4,0.6532231480393371
4,1998,low,1,0.1172069075259229
5,1998,low,2,0.1985229877263304
6,1998,low,3,0.48404636778394605
7,1998,low,4,0.6141694651347908
8,1998,medium,1,0.14428572264467565
9,1998,medium,2,0.21397833115828144
10,1998,medium,3,0.4943223375584835
11,1998,medium,4,0.6295578208063557
12,1999,high,1,0.16158085694721713
13,1999,high,2,0.23396537134229833
14,1999,high,3,0.5007016737086472
15,1999,high,4,0.6552481455294655
16,1999,low,1,0.12700608360061774
17,1999,low,2,0.21325640225960316
18,1999,low,3,0.5005936736819929
19,1999,low,4,0.6143306688796262
20,1999,medium,1,0.14717852075533228
21,1999,medium,2,0.21882947635744107
22,1999,medium,3,0.49874708057281464
23,1999,medium,4,0.6286596819880346
24,2000,high,1,0.15291879643373466
25,2000,high,2,0.2580909230218097
26,2000,high,3,0.55215422680998
27,2000,high,4,0.6928574620703053
28,2000,low,1,0.16189194726748016
29,2000,low,2,0.22518302092703846
30,2000,low,3,0.5474017949908683
31,2000,low,4,0.6389706900074433
32,2000,medium,1,0.1735441011070076
33,2000,medium,2,0.22670878391751986
34,2000,medium,3,0.5136549014721262
35,2000,medium,4,0.6333843537756826
36,2001,high,1,0.14732929743271264
37,2001,high,2,0.23236685712864089
38,2001,high,3,0.4934795467227786
39,2001,high,4,0.6405006641862184
40,2001,low,1,0.1231454494791246
41,2001,low,2,0.20770500482781676
42,2001,low,3,0.4812847248725251
43,2001,low,4,0.6024243099239155
44,2001,medium,1,0.1440959925063209
45,2001,medium,2,0.21334594941206933
46,2001,medium,3,0.4836044896810881
47,2001,medium,4,0.6151380386189075
48,2002,high,1,0.16277661713542516
49,2002,high,2,0.2855439416746649
50,2002,high,3,0.5303071733105975
51,2002,high,4,0.6565521221532642
52,2002,low,1,0.13969745555435115
53,2002,low,2,0.24517831554707292
54,2002,low,3,0.5024426152058663
55,2002,low,4,0.6045030785899833
56,2002,medium,1,0.1564742696600849
57,2002,medium,2,0.24762002412240863
58,2002,medium,3,0.5004294230645775
59,2002,medium,4,0.6270742934888142
60,2003,high,1,0.1652317255635782
61,2003,high,2,0.2756705351398041
62,2003,high,3,0.5205250865936973
63,2003,high,4,0.6527505033350977
64,2003,low,1,0.11742210448610475
65,2003,low,2,0.2077772113424943
66,2003,low,3,0.4256284266077733
67,2003,low,4,0.5388176450275561
68,2003,medium,1,0.14072710354804746
69,2003,medium,2,0.22549921860666022
70,2003,medium,3,0.4539522067647297
71,2003,medium,4,0.5478607739146344
72,2004,high,1,0.1630248295594415
73,2004,high,2,0.2853738084402508
74,2004,high,3,0.5288629415736953
75,2004,high,4,0.6537049011787687
76,2004,low,1,0.13855540338043207
77,2004,low,2,0.24439797663742627
78,2004,low,3,0.5018550707856516
79,2004,low,4,0.6081173195652565
80,2004,medium,1,0.15862461748360562
81,2004,medium,2,0.25829738234353933
82,2004,medium,3,0.5128372534046707
83,2004,medium,4,0.6214766453559913
84,2005,high,1,0.27132297154990437
85,2005,high,2,0.4711907787545438
86,2005,high,3,0.6394029517008321
87,2005,high,4,0.7527963727645934
88,2005,low,1,0.24656447756419117
89,2005,low,2,0.37230444097293725
90,2005,low,3,0.6120435369906482
91,2005,low,4,0.6665998031989717
92,2005,medium,1,0.22498453968132487
93,2005,medium,2,0.34537422345740587
94,2005,medium,3,0.5811398990020713
95,2005,medium,4,0.6473701602638309
96,2006,high,1,0.15373270480231654
97,2006,high,2,0.27069690123986045
98,2006,high,3,0.48913217734382886
99,2006,high,4,0.6173057435310737
100,2006,low,1,0.1262799815587938
101,2006,low,2,0.225316463461349
102,2006,low,3,0.4580104431961002
103,2006,low,4,0.5693983056926101
104,2006,medium,1,0.14673267624267836
105,2006,medium,2,0.24767429958707315
106,2006,medium,3,0.4909685245507955
107,2006,medium,4,0.5704039257479756
108,2007,high,1,0.21091212073226015
109,2007,high,2,0.3587210985902084
110,2007,high,3,0.6047530246868775
111,2007,high,4,0.6777333631515542
112,2007,low,1,0.19969047286562958
113,2007,low,2,0.3311307566413925
114,2007,low,3,0.6056189195048307
115,2007,low,4,0.6278321272742989
116,2007,medium,1,0.20637282894819164
117,2007,medium,2,0.34220421835586856
118,2007,medium,3,0.5821736775147287
119,2007,medium,4,0.6436577477087113
120,2008,high,1,0.20735506091036346
121,2008,high,2,0.38310820354735003
122,2008,high,3,0.5943817331059468
123,2008,high,4,0.6859021312561692
124,2008,low,1,0.20733860097097395
125,2008,low,2,0.36289298740528697
126,2008,low,3,0.582319698580973
127,2008,low,4,0.6545808962048761
128,2008,medium,1,0.15737285852932412
129,2008,medium,2,0.2828342253133525
130,2008,medium,3,0.5933007960362779
131,2008,medium,4,0.4947828445247578
132,2009,high,1,0.21328322258863666
133,2009,high,2,0.3836196287854828
134,2009,high,3,0.5963908502308136
135,2009,high,4,0.6880142218702068
136,2009,low,1,0.20374876727007993
137,2009,low,2,0.35910573314919236
138,2009,low,3,0.5841886768814097
139,2009,low,4,0.6429918775677523
140,2009,medium,1,0.2082754810532759
141,2009,medium,2,0.3697487749390962
142,2009,medium,3,0.5968904519356052
143,2009,medium,4,0.6607643618572224
144,2010,high,1,0.38566493627728127
145,2010,high,2,0.5821310204761536
146,2010,high,3,0.7336080592634612
147,2010,high,4,0.7818543882404528
148,2010,low,1,0.32734357443488477
149,2010,low,2,0.5009805853794904
150,2010,low,3,0.6876298257228651
151,2010,low,4,0.7452546374080773
152,2010,medium,1,0.288169589285344
153,2010,medium,2,0.5007277720789942
154,2010,medium,3,0.6805531510832727
155,2010,medium,4,0.7519388404160391
156,2011,high,1,0.2499307810434105
157,2011,high,2,0.45033679238917224
158,2011,high,3,0.6720552386158581
159,2011,high,4,0.7279914876699796
160,2011,low,1,0.2280495087249263
161,2011,low,2,0.4291100848215756
162,2011,low,3,0.6381541925648437
163,2011,low,4,0.710821073831238
164,2011,medium,1,0.23838982317190954
165,2011,medium,2,0.44965796460211227
166,2011,medium,3,0.6443390557675264
167,2011,medium,4,0.7185150436438321
168,2012,high,1,0.2175516611288613
